,nr_lambdas_ridge,nr_lambdas_lasso,min_lambda,max_lambda,k,datapoints,n_bootstrap,n_bootstraps_lasso,mindeg,maxdeg,lasso_tol,lasso_iterations,R2_lasso,R2_ridge,R2_OLS,MSEBOOTRIDGE,MSEBOOTLASSO,MSEBOOTOLS,MSEkfoldRIDGE,MSEkfoldLASSO,MSEkfoldOLS,bias_LASSO,bias_RIDGE,bias_OLS,variance_0LS,variance_Ridge,variance_LASSO,ideal_lambda_LASSO,ideal_lambda_RIDGE
0,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.02339100354133065,0.023488936470533163,0.023488936470533166,83544.6107943905,83552.9893665949,83544.6107943905,84901.40145062415,84891.08578311684,84888.02779846238,83540.72130609759,83531.53170740443,83531.53170740443,13.079086986078662,13.079086986078662,12.268060497304395,1e-16,1.8307382802953695e-18
1,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.3454134987123367,0.36238501532582573,0.36238501532582573,55973.4551862713,57463.31105139596,55973.4551862713,55367.060863968196,56968.32715035179,55349.11224904519,57455.31566771884,55956.22619314654,55956.226193146525,17.228993124764557,17.228993124764553,7.995383677112756,1e-16,1.2618568830660185e-18
2,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.40630389898402247,0.5404911052289818,0.5404911052289818,39274.23680364555,50743.22069939875,39274.23680364556,40024.244468044155,51878.05265281863,40038.69398138036,50720.47788129157,39248.166659621485,39248.166659621485,26.070144024059765,26.070144024059747,22.742818107192633,1e-16,5.857020818056674e-16
3,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.4281944773136898,0.5472581855858725,0.5472581855858725,39124.26713631565,49413.310870235604,39124.26713631564,39380.14251127655,50051.77229203732,39373.40426788855,49397.02192149305,39084.84370947552,39084.84370947552,39.42342684013715,39.423426840137196,16.28894874256521,1e-16,5.590810182512223e-18
4,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.44145609580180367,0.6375474191149608,0.6375474191149608,31683.419424501528,48824.54069025642,31683.41942450153,31580.497935836145,49342.39499874532,31577.606899590573,48811.41171957278,31643.90009035964,31643.900090359653,39.519334141882936,39.519334141882744,13.12897068363261,1e-12,1.3219411484660287e-16
5,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.4460633018839182,0.6541045566524747,0.6541045566524749,29810.928529059103,47740.9218154121,29810.928529059103,29965.454990567097,48210.68529720408,29975.96054129769,47732.70038275051,29760.01717901058,29760.01717901058,50.911350048521975,50.91135004852388,8.221432661585418,1e-12,1.0476157527896661e-18
6,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.44988503063477103,0.6659246304443242,0.6659246304146823,28800.37282927471,47424.97550105443,28800.372831830115,28842.602249302894,47862.170514397476,28854.93144775805,47413.023286806776,28737.468981207265,28737.468983493316,62.90384833679977,62.90384806745227,11.952214247654945,1e-20,5.72236765935022e-13
7,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.4422085391870254,0.6707831539536394,0.6707831539536392,28127.853856598755,47656.96798515795,28127.853856598776,28232.06058008828,47783.67881632765,28207.599956924492,47645.33701639937,28051.029259668707,28051.029259668685,76.8245969300918,76.82459693005048,11.630968758579822,1e-16,1.8307382802953695e-18
8,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.4346459028590599,0.6760172854912515,0.6760172854899724,28120.814174276635,49071.190518520765,28120.81417438766,27272.812057049952,47795.77719464511,27271.025826448535,49057.00604314275,28025.375537822092,28025.37553790796,95.43863647970143,95.43863645454765,14.184475378001254,1e-20,5.214008287999674e-17
9,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.4454797308002652,0.690273135337195,0.6902731353345376,26397.439647980387,47260.72230033363,26397.43964820688,26278.84329075056,47820.792155271556,26281.675160793493,47249.337844444206,26294.079034777085,26294.079034883365,103.36061332351761,103.3606132033028,11.384455889430853,1e-16,9.770099572992247e-18
10,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.4381112348772474,0.7028646311116301,0.7028575654295651,25547.965112441754,48311.69921687143,25548.57262611327,24960.910747421854,47806.93420565471,24974.420220496082,48295.638107807914,25414.01034314938,25414.565846805057,134.0067793082133,133.95476929237103,16.0611090635085,1e-20,4.229242874389499e-14
11,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.4484125581735506,0.716743787203835,0.7167441935029261,24398.32521522343,47511.084249365675,24398.2902185776,24536.03951369097,47752.19687172733,24516.606866685834,47498.22688932007,24232.80841732341,24232.74615676907,165.54406180852965,165.51679790002345,12.8573600456106,1e-20,7.054802310718631e-16
12,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.45734992152079296,0.7361149934346963,0.7361149900546443,23914.281575963396,49177.05231865438,23914.281882276802,23521.505544512573,47685.37473025266,23561.323434743368,49159.73405881891,23745.295994199343,23745.2962074212,168.98567485560454,168.98558176405254,17.31825983546889,1e-16,1.3530477745798074e-19
13,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.45524374445318094,0.7273359295439814,0.7269468344185449,23230.801283448243,46412.87830610891,23263.95193481296,23135.829757094743,47602.69129015415,23147.847463920676,46397.15445293924,22999.168005254596,23021.212876949114,242.73905786384782,231.63327819364494,15.723853169668466,1e-12,2.782559402207126e-16
14,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.4500189383413291,0.748635432624515,0.7486367218707799,21569.713662575752,47194.13775648124,21569.603031737588,22317.34600467159,47504.950728241645,22343.89414326149,47173.38112970942,21389.942349170375,21389.35852537773,180.24450635985795,179.7713134053774,20.756626771820788,1e-12,1.2618568830660185e-18
15,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.4524932534360784,0.7553824100472364,0.7553314641246422,21698.377977641645,48565.633953579905,21702.897047120998,21601.151373080764,47414.67671295758,21591.354112607463,48545.47907283603,21393.897184436675,21397.906455672743,304.9905914482573,304.4807932049687,20.15488074386689,1e-16,5.3366992312063016e-20
16,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.453154621919241,0.7622708670715664,0.7616684843689788,20508.83574102433,47176.220670324255,20560.8031534673,20947.63081413077,47317.39916861705,20930.64773428908,47160.319663375914,20113.952527244954,20136.172761089478,424.6303923778189,394.8832137793774,15.901006948337677,1e-20,1e-20
17,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.45167664674181124,0.7555396379718373,0.7549507426704267,21493.159726933434,48209.048353729864,21544.93589494141,20321.047796007108,47223.83873155005,20295.420639487827,48190.36308698348,21147.383028450793,21126.391003930337,418.54489101107094,345.7766984826445,18.685266746389885,1e-16,1e-20
18,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.45257731961729436,0.7523665948957913,0.7544931519643477,20663.279769088855,45678.602981420256,20485.833419982515,20134.744691895416,47150.99905647844,19901.91971990341,45660.35791667922,20385.792667441914,20180.854141539025,304.979278443488,277.4871016469391,18.245064741042828,1e-16,1.450828778495943e-20
19,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.4658119026232223,0.7628365992320791,0.7683156970224697,20535.962544031285,46255.31057353888,20061.52784359176,20032.75458253185,47080.383781214325,19424.929442167573,46235.89982863499,20178.63613023393,19643.70425205059,417.8235915411723,357.3264137973529,19.410744903878214,1e-12,1.747528400007683e-20
20,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.47127227754978157,0.7714754454779404,0.766234247729041,20149.628377022404,46619.35406583601,20611.75896562229,19721.388040139915,47042.489311972866,19249.588910882434,46595.05191884025,19757.47518157588,19593.527377946903,1018.2315876753867,392.1531954465242,24.30214699575953,1e-12,1e-20
21,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.4465364994156058,0.7444951705183426,0.7171323558945516,22334.424403164463,48379.86326438628,24726.288055654586,19576.256987030814,46993.763454503365,20462.86522453528,48361.09822682898,20574.977183581348,19489.00087122855,5237.28718442604,1759.4472195831165,18.765037557306407,1e-20,1e-20
22,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.4644970915917593,0.7682878288215182,0.7366660816839883,19724.347493601395,45584.33592658527,22416.12810108188,19376.972449661473,46933.62696479135,20929.93600841774,45568.400539661125,19413.307429778986,18865.466369066446,3550.6617320154337,311.04006382240846,15.935386924144035,1e-16,1e-20
23,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.45883496693831205,0.7521030269614793,0.4993905813922513,21970.543479995118,47962.22294689848,44367.871310423536,19046.52792568913,46916.03832728534,38439.38083653401,47943.82287548085,20002.360087016707,21189.77500014201,23178.096310281526,1968.1833929784075,18.400071417629512,1e-16,1e-20
24,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.45601763096920916,0.7748638113748852,0.6243610429257057,19332.00325750425,46710.69984061638,32255.381003619197,18891.441664524034,46869.738650249215,28084.35633737598,46688.6438547581,18485.33449492929,20898.207067761625,11357.173935857574,846.6687625749577,22.055985858281318,1e-16,1e-20
25,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.4704686850171331,0.7732984628102461,0.1153796347572145,19379.967220150047,45267.88681552323,75623.27937076375,18828.93157998852,46839.76175615397,63053.2583259654,45248.39919955555,19065.994651094497,31471.38008217014,44151.899288593595,313.97256905555173,19.487615967687262,1e-16,1.2045035402587787e-20
26,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.459066596610294,0.7755266589679022,0.31474208839128925,19792.514535646886,47695.7851662072,60421.32715547298,18836.52717124888,46813.65794441333,56916.29964789028,47677.749269950094,19333.7736425557,31829.303327701036,28592.023827771944,458.7408930911813,18.035896257098422,1e-16,2.5353644939701167e-20
27,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.46349250325358593,0.7791977515000179,0.5157189545323488,19452.91094735803,47266.87625555956,42665.67082072275,18638.599532349494,46777.70203422815,41254.56600492868,47247.38110248221,19092.01334530059,25652.09410319216,17013.57671753059,360.8976020574328,19.495153077345435,1e-20,1.450828778495943e-20
28,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.45926984811119526,0.7851330628360357,-0.3194300818277281,19365.83148285362,48735.692598370915,118919.46222784856,18424.377975152598,46779.847517121714,60162.3454779626,48716.60720260371,18550.58466784275,37760.18209968765,81159.2801281609,815.2468150108735,19.085395767209015,1e-12,1e-20
29,100,3,-20,-12,5,20000,1000,12,1,30,0.3,10.0,0.4625526288277016,0.7835573642835406,-1.3506521055180203,19205.975981312775,47690.24026983747,208584.44885204392,18139.105976962946,46729.62834570516,81179.33315132398,47665.142444797406,18537.110539085214,60590.84250978607,147993.60634225787,668.8654422275596,25.097825040071342,1e-20,1e-20
